specimen,pcb138,LOG.pcb138,pcb153,LOG.pcb153,pcb180,LOG.pcb180,pcb28,LOG.pcb28,pcb52,LOG.pcb52,pcb126,LOG.pcb126,pcb118,LOG.pcb118,pcb,LOG.pcb,teq,LOG.teq,teqpcb,LOG.teqpcb,teqdioxin,LOG.teqdioxin,teqfuran,LOG.teqfuran
32,2.02,0.305351369,1.82,0.260071388,1.39,0.1430148,0.304,-0.517126416,0.311,-0.507239611,0.0075,-2.124938737,1.31,0.117271296,18.3945,1.264687987,1.90679,0.280302866,1.04561,0.019369728,0.70768,-0.150163078,0.1535,-0.81389162
33,3.24,0.51054501,1.79,0.252853031,2.6,0.414973348,0.085,-1.070581074,0.117,-0.931814138,0.0069,-2.161150909,1.74,0.240549248,27.5003,1.439337432,1.93328,0.286294758,1.15728,0.063438448,0.455,-0.341988603,0.321,-0.493494968
34,8.22,0.914871818,12,1.079181246,7.07,0.849419414,0.115,-0.93930216,0.531,-0.274905479,0.0066,-2.180456064,2.56,0.408239965,79.0347,1.897817809,1.93833,0.287427717,1.28179,0.107816879,0.44154,-0.355029947,0.215,-0.66756154
35,9.5,0.977723605,11.1,1.045322979,9.47,0.976349979,0.24,-0.619788758,0.752,-0.123782159,0.006,-2.22184875,2.42,0.383815366,97.8119,1.990391695,2.06698,0.315336274,1.2633,0.101506496,0.50768,-0.294409945,0.296,-0.528708289
36,4.88,0.688419822,9.78,0.990338855,2.69,0.42975228,0.215,-0.66756154,0.304,-0.517126416,0.008,-2.096910013,2.6,0.414973348,44.887,1.652120581,2.17268,0.336995767,1.30172,0.114517578,0.73346,-0.134623566,0.1375,-0.861697302
37,5.75,0.759667845,6.95,0.841984805,3.1,0.491361694,0.197,-0.705533774,0.595,-0.225483034,0.0156,-1.806875402,1.85,0.267171728,58.2125,1.765016251,2.25169,0.352508599,2.04169,0.309989802,0.13,-0.886056648,0.08,-1.096910013
38,5.48,0.738780558,7.22,0.858537198,5.46,0.737192643,0.317,-0.498940738,0.352,-0.453457337,0.0082,-2.086186148,1.54,0.187520721,57.4186,1.759052599,2.3496,0.370993934,1.24755,0.096057961,0.93535,-0.029025849,0.1667,-0.7780644
39,8.08,0.907411361,9.41,0.973589623,3.37,0.527629901,0.006,-2.22184875,0.065,-1.187086643,0.0112,-1.950781977,3.58,0.553883027,57.4938,1.759621014,2.3914,0.378652225,1.9404,0.287891266,0.401,-0.396855627,0.05,-1.301029996
40,3.29,0.517195898,3.53,0.547774705,2.37,0.374748346,0.375,-0.425968732,0.34,-0.468521083,0.0069,-2.161150909,1.35,0.130333768,33.5817,1.526102678,2.39621,0.379524876,1.04805,0.020382002,1.17516,0.070097001,0.173,-0.761953897
41,3.73,0.571708832,3.71,0.56937391,1.02,0.008600172,6.93,0.840733235,5.86,0.767897616,0.0074,-2.13076828,3.89,0.589949601,115.7361,2.063468844,2.56248,0.408660484,1.55891,0.192821043,0.74655,-0.1269411,0.257,-0.590066877
42,1.36,0.133538908,1.21,0.08278537,0.624,-0.20481541,0.121,-0.91721463,0.269,-0.57024772,0.0026,-2.585026652,0.508,-0.294136288,14.8479,1.171665034,2.70326,0.431887818,0.13567,-0.867516175,2.15359,0.333163026,0.414,-0.382999659
43,9.92,0.996511672,10.6,1.025305865,2.81,0.44870632,0.532,-0.274088368,1.26,0.100370545,0.0136,-1.866461092,4.77,0.678518379,91.6305,1.962040056,2.77235,0.442848058,2.39235,0.378824717,0.2,-0.698970004,0.18,-0.744727495
44,8.65,0.937016107,10.8,1.033423755,6.21,0.7930916,0.409,-0.388276692,0.428,-0.368556231,0.0152,-1.818156412,3.68,0.565847819,92.1625,1.964554247,3.06526,0.486467318,2.40526,0.381162029,0.328,-0.484126156,0.332,-0.478861916
45,4.56,0.658964843,4.13,0.615950052,1.15,0.06069784,0.062,-1.207608311,0.307,-0.512861625,0.0069,-2.161150909,2.71,0.432969291,37.0122,1.5683449,3.07261,0.48750744,1.3254,0.122346966,1.51721,0.181045696,0.23,-0.638272164
46,8.78,0.943494516,11.1,1.045322979,4.69,0.671172843,0.207,-0.684029655,0.892,-0.049635146,0.0097,-2.013228266,3.85,0.58546073,87.6535,1.942769262,3.08839,0.489732138,1.89762,0.278209249,1.00107,0.000464447,0.1897,-0.721932669
47,13.1,1.117271296,13.7,1.136720567,7.63,0.882524538,0.432,-0.364516253,0.981,-0.008330993,0.0128,-1.89279003,4.81,0.682145076,111.3631,2.046741312,3.09832,0.49112627,2.47533,0.393633105,0.40245,-0.395288068,0.2205,-0.656591406
48,5.99,0.777426822,5.91,0.771587481,3.06,0.485721426,0.126,-0.899629455,0.062,-1.207608311,0.0155,-1.809668302,2.64,0.421603927,47.9596,1.680875552,3.16025,0.49972144,2.21225,0.344834204,0.572,-0.242603971,0.376,-0.424812155
49,3.91,0.592176757,1.46,0.164352856,2.48,0.394451681,0.302,-0.519993057,0.17,-0.769551079,0.0125,-1.903089987,3.18,0.50242712,38.0747,1.58063649,3.26624,0.514048093,2.04524,0.310744278,0.959,-0.018181393,0.262,-0.581698709
50,6.51,0.813580989,6.39,0.805500858,1.47,0.167317335,2.24,0.350248018,7.75,0.889301703,0.0087,-2.060480747,5.45,0.736396502,122.796,2.08918422,3.449,0.537693194,1.88312,0.274877996,1.11288,0.046448338,0.453,-0.343901798
51,11.3,1.053078443,21.4,1.330413773,4.1,0.612783857,0.52,-0.283996656,1.62,0.209515015,0.0147,-1.832682665,6.29,0.798650645,113.1166,2.053526343,3.5548,0.550815171,2.53503,0.403983103,0.77977,-0.108033477,0.24,-0.619788758
52,8.12,0.909556029,9.87,0.994317153,3.99,0.600972896,0.221,-0.655607726,0.867,-0.061980903,0.0118,-1.928117993,3.49,0.542825427,79.2042,1.898748212,3.73025,0.571737939,2.01954,0.305252459,1.42871,0.154944085,0.282,-0.549750892
53,11.5,1.06069784,12.9,1.11058971,9.33,0.969881644,0.299,-0.524328812,0.707,-0.150580586,0.0121,-1.91721463,3.36,0.526339277,98.3269,1.992672347,3.80527,0.580385477,2.02978,0.307448969,1.47649,0.16923051,0.299,-0.524328812
54,3.99,0.600972896,3.57,0.552668216,2.1,0.322219295,0.092,-1.036212173,0.328,-0.484126156,0.0116,-1.935542011,1.41,0.149219113,33.0017,1.518536312,3.85135,0.585612988,1.59635,0.203128117,1.35,0.130333768,0.905,-0.043351421
55,7.88,0.896526217,3.46,0.539076099,2.29,0.359835482,0.371,-0.43062609,0.667,-0.175874166,0.0216,-1.665546249,5.65,0.752048448,64.2417,1.807817025,4.06585,0.609151352,3.3897,0.530161263,0.31915,-0.496005151,0.357,-0.447331784
56,13,1.113943352,13,1.113943352,5.04,0.702430536,0.934,-0.029653124,2.13,0.328379603,0.0195,-1.709965389,6.9,0.838849091,119.3755,2.076915204,4.13954,0.616952083,3.68123,0.565992953,0.17129,-0.766267991,0.287,-0.542118103
57,9.05,0.956648579,3.36,0.526339277,5.08,0.705863712,0.487,-0.312471039,0.497,-0.303643611,0.0196,-1.707743929,3.9,0.591064607,80.6768,1.906748664,4.3456,0.638049748,2.9416,0.468583617,1.005,0.002166062,0.399,-0.399027104
58,21,1.322219295,31.2,1.494154594,19,1.278753601,0.283,-0.548213564,0.645,-0.190440285,0.0281,-1.55129368,3.66,0.563481085,171.4136,2.234045276,4.55013,0.658023805,3.99643,0.60167221,0.234,-0.630784143,0.3197,-0.495257364
59,12.2,1.086359831,23.9,1.378397901,17.6,1.245512668,0.305,-0.515700161,0.188,-0.725842151,0.0214,-1.669586227,4.09,0.611723308,132.867,2.123417129,4.86773,0.687326481,3.22129,0.508029824,1.46144,0.16478099,0.185,-0.732828272
60,8.63,0.936010796,9.02,0.955206538,3.11,0.492760389,0.596,-0.22475374,1.78,0.250420002,0.0181,-1.742321425,6.09,0.784617293,91.7974,1.962830381,5.03236,0.701771702,3.10707,0.492351038,1.38026,0.139960902,0.545,-0.263603498
61,4.39,0.64246452,4.21,0.624282096,1.11,0.045322979,0.128,-0.89279003,0.232,-0.634512015,0.019,-1.721246399,3.35,0.525044807,32.6213,1.513501264,5.10443,0.707947252,2.68943,0.429660245,1.914,0.281941933,0.501,-0.300162274
62,5.95,0.774516966,6.68,0.824776462,3.63,0.559906625,0.676,-0.170053304,0.953,-0.020907099,0.0101,-1.995678626,2.91,0.463892989,59.5369,1.774786218,5.17605,0.713998463,1.71319,0.233805531,3.24836,0.511664154,0.2145,-0.668572703
63,19.7,1.294466226,18.8,1.274157849,10.6,1.025305865,2.07,0.315970345,4.03,0.605305046,0.0208,-1.681936665,8.59,0.933993164,200.5094,2.302134737,5.63355,0.750782153,4.13923,0.616919559,1.1923,0.076385544,0.302,-0.519993057
64,7.6,0.880813592,2.82,0.450249108,3.73,0.571708832,0.596,-0.22475374,0.351,-0.454692884,0.0254,-1.595166283,5,0.698970004,65.3966,1.81555517,5.66153,0.752933813,3.81053,0.580985385,0.725,-0.139661993,1.126,0.051538391
65,18.1,1.257678575,32.5,1.511883361,9.87,0.994317153,0.576,-0.239577517,2.75,0.439332694,0.0263,-1.580044252,8.19,0.913283902,198.5225,2.297809736,5.81782,0.76476028,4.33239,0.636727545,1.05843,0.024662141,0.427,-0.369572125
66,13.1,1.117271296,7.72,0.8876173,4.49,0.652246341,0.243,-0.614393726,0.538,-0.269217724,0.0317,-1.498940738,6.86,0.836324116,89.3715,1.951199047,5.94828,0.774391404,4.88513,0.688876125,0.64115,-0.193040353,0.422,-0.374687549
67,25.2,1.401400541,35.2,1.546542663,13,1.113943352,1.98,0.29666519,1.42,0.152288344,0.0256,-1.591760035,13,1.113943352,210.3284,2.322897918,6.26579,0.796975835,5.41694,0.733754025,0.71885,-0.143361723,0.13,-0.886056648
68,12.3,1.089905111,25.9,1.413299764,3.75,0.574031268,1.76,0.245512668,9.06,0.957128198,0.0166,-1.779891912,18.9,1.276461804,246.6618,2.392101896,6.29944,0.799301944,4.57774,0.660651123,0.7647,-0.11650891,0.957,-0.019088062
69,32.3,1.509202522,43.5,1.638489257,31.5,1.498310554,0.915,-0.038578906,1.8,0.255272505,0.0281,-1.55129368,8.49,0.92890769,318.7461,2.50344488,6.49311,0.81245276,5.10758,0.708215178,1.18553,0.073912548,0.2,-0.698970004
