specimen,pcb138,LN.pcb138,pcb153,LN.pcb153,pcb180,LN.pcb180,pcb28,LN.pcb28,pcb52,LN.pcb52,pcb126,LN.pcb126,pcb118,LN.pcb118,pcb,LN.pcb,teq,LN.teq,teqpcb,LN.teqpcb,teqdioxin,LN.teqdioxin,teqfuran,LN.teqfuran
11,0.86,-0.15082289,0.87,-0.139262067,0.395,-0.928869514,0.091,-2.396895772,0.02,-3.912023005,0.0026,-5.952243834,0.406,-0.901402119,8.591,2.150715144,1.16909,0.156225668,0.10819,-2.223866338,0.9446,-0.056993722,0.1163,-2.151582219
12,3.38,1.217875709,3.84,1.345472367,1.85,0.615185639,1.51,0.412109651,0.539,-0.618039708,0.0026,-5.952243834,1.5,0.405465108,36.4229,3.595197698,1.16942,0.156507899,0.36523,-1.007227987,0.68119,-0.38391401,0.123,-2.095570924
13,7.39,2.000127735,9.18,2.217027205,4.42,1.486139696,0.154,-1.870802677,0.707,-0.346724613,0.0026,-5.952243834,3.55,1.266947603,66.4108,4.195859694,1.18253,0.167656211,0.88631,-0.120688502,0.19122,-1.654330681,0.105,-2.253794929
14,2.74,1.00795792,3.03,1.10856262,0.595,-0.519193873,0.392,-0.936493439,0.893,-0.113168698,0.0026,-5.952243834,1.98,0.683096845,30.5757,3.420205576,1.21249,0.192676096,0.35924,-1.02376459,0.59325,-0.522139384,0.26,-1.347073648
15,2.58,0.947789399,3.3,1.193922468,1.78,0.576613364,0.097,-2.3330443,0.112,-2.189256408,0.0062,-5.083205987,1.52,0.418710335,25.4771,3.237780009,1.23549,0.211467653,0.96849,-0.032017121,0.174,-1.74869998,0.093,-2.375155786
16,7.28,1.985130862,6.6,1.887069649,3.49,1.249901736,0.262,-1.339410775,1.44,0.364643114,0.0026,-5.952243834,4,1.386294361,68.5567,4.22766114,1.23559,0.211548589,0.96859,-0.031913873,0.205,-1.5847453,0.062,-2.780620894
17,2.29,0.828551818,4.21,1.437462648,2.1,0.741937345,0.111,-2.198225078,0.124,-2.087473713,0.0026,-5.952243834,0.981,-0.019182819,23.1381,3.141480609,1.26356,0.233933134,0.26471,-1.329120392,0.86635,-0.143466295,0.1325,-2.021172634
18,5.35,1.677096561,7.25,1.981001469,5.37,1.680827909,0.156,-1.857899272,0.154,-1.870802677,0.0079,-4.84089252,0.737,-0.305167387,43.0451,3.762248403,1.35751,0.305652139,1.04451,0.043547876,0.214,-1.541779264,0.099,-2.312635429
19,4.62,1.530394705,5.55,1.713797928,2.69,0.989541194,0.12,-2.120263536,0.319,-1.142564176,0.0072,-4.933674253,1.49,0.39877612,39.53,3.677059877,1.36336,0.309952241,1.09586,0.091539443,0.157,-1.851509474,0.1105,-2.202739758
20,3.54,1.264126727,3.57,1.272565596,1.14,0.131028262,0.315,-1.15518264,0.536,-0.623621118,0.0072,-4.933674253,1.89,0.636576829,36.5013,3.597347876,1.37083,0.315416396,1.13123,0.123305536,0.099,-2.312635429,0.1406,-1.9618363
21,1.98,0.683096845,2.08,0.732367894,1.04,0.039220713,0.845,-0.168418652,0.718,-0.33128571,0.0026,-5.952243834,0.889,-0.117658043,26.5255,3.278106534,1.38104,0.322836839,0.20506,-1.58445266,1.02578,0.025453299,0.1502,-1.89578754
22,2.01,0.698134722,2.55,0.936093359,1.04,0.039220713,0.172,-1.760260802,0.173,-1.754463684,0.0026,-5.952243834,1.5,0.405465108,22.137,3.097250417,1.38902,0.328598463,0.30549,-1.185838234,1.02103,0.020811922,0.0625,-2.772588722
23,2.22,0.797507196,2.62,0.963174318,0.897,-0.108699417,0.091,-2.396895772,0.228,-1.47840965,0.0054,-5.221356325,1.07,0.067658648,19.1992,2.954868611,1.47651,0.389681195,0.78992,-0.235823604,0.48569,-0.722184719,0.2009,-1.604948007
24,3.5,1.252762968,3.61,1.283707772,2.33,0.845868268,0.371,-0.991553216,0.456,-0.785262469,0.0066,-5.02068563,1.52,0.418710335,32.9518,3.495045888,1.48975,0.398608321,1.06958,0.067266048,0.35517,-1.035158731,0.065,-2.733368009
25,0.86,-0.15082289,0.86,-0.15082289,0.474,-0.746547957,0.058,-2.847312268,0.152,-1.883874758,0.0026,-5.952243834,0.393,-0.933945667,9.0893,2.207097898,1.51692,0.416681963,0.0997,-2.305589602,1.24922,0.222519357,0.168,-1.7837913
26,4.92,1.593308531,6.09,1.806648082,3.65,1.294727168,0.159,-1.838851077,0.181,-1.709258248,0.009,-4.710530702,1.79,0.58221562,42.0037,3.73775771,1.56344,0.446888522,1.39494,0.332851404,0.076,-2.577021939,0.0925,-2.380546634
27,2.76,1.01523068,2.89,1.061256502,0.868,-0.141563564,2.46,0.90016135,1.78,0.576613364,0.0026,-5.952243834,2.14,0.760805829,48.7727,3.88717073,1.66115,0.507510134,0.44493,-0.809838313,0.94849,-0.052884033,0.2677,-1.317888328
28,5.18,1.644805056,7.08,1.957273908,3.61,1.283707772,0.184,-1.692819521,0.843,-0.170788321,0.0071,-4.947660495,2.39,0.871293366,55.894,4.02345704,1.66381,0.509110153,1.21581,0.195410521,0.335,-1.093624747,0.113,-2.18036746
29,2.6,0.955511445,2.37,0.862889955,1.24,0.21511138,0.431,-0.841647189,0.482,-0.729811165,0.0083,-4.791499764,1.6,0.470003629,31.8021,3.459532325,1.70648,0.534432769,1.20843,0.189321996,0.22005,-1.513900486,0.278,-1.280134165
30,4.95,1.599387577,7.15,1.967112357,2.74,1.00795792,0.294,-1.224175512,1.29,0.254642218,0.0071,-4.947660495,2.35,0.854415328,60.1485,4.096816504,1.74258,0.555366774,1.22208,0.200554325,0.222,-1.505077897,0.2985,-1.208985346
31,10.8,2.379546134,12.2,2.501435952,8.82,2.17702187,0.18,-1.714798428,0.067,-2.70306266,0.0074,-4.906275279,3.55,1.266947603,97.2793,4.577586222,1.7909,0.582718287,1.60686,0.474281964,0.05604,-2.881689558,0.128,-2.055725015
32,2.02,0.703097511,1.82,0.598836501,1.39,0.329303747,0.304,-1.190727578,0.311,-1.167962367,0.0075,-4.892852258,1.31,0.270027137,18.3945,2.912051707,1.90679,0.6454212,1.04561,0.044600447,0.70768,-0.345763265,0.1535,-1.874054712
33,3.24,1.17557333,1.79,0.58221562,2.6,0.955511445,0.085,-2.465104022,0.117,-2.145581344,0.0069,-4.976233867,1.74,0.553885113,27.5003,3.314196914,1.93328,0.659218042,1.15728,0.146072424,0.455,-0.78745786,0.321,-1.136314156
34,8.22,2.106570209,12,2.48490665,7.07,1.95586048,0.115,-2.162823151,0.531,-0.632993258,0.0066,-5.02068563,2.56,0.940007258,79.0347,4.369886997,1.93833,0.661826778,1.28179,0.248257539,0.44154,-0.817486663,0.215,-1.537117251
35,9.5,2.251291799,11.1,2.406945108,9.47,2.248128907,0.24,-1.427116356,0.752,-0.285018955,0.006,-5.11599581,2.42,0.88376754,97.8119,4.583046247,2.06698,0.726088605,1.2633,0.233727345,0.50768,-0.677903951,0.296,-1.217395825
36,4.88,1.58514522,9.78,2.280339484,2.69,0.989541194,0.215,-1.537117251,0.304,-1.190727578,0.008,-4.828313737,2.6,0.955511445,44.887,3.804148221,2.17268,0.775961429,1.30172,0.263686467,0.73346,-0.309982216,0.1375,-1.984131362
37,5.75,1.749199855,6.95,1.93874166,3.1,1.131402111,0.197,-1.62455155,0.595,-0.519193873,0.0156,-4.160484365,1.85,0.615185639,58.2125,4.064100108,2.25169,0.811681045,2.04169,0.713777896,0.13,-2.040220829,0.08,-2.525728644
38,5.48,1.701105101,7.22,1.976854953,5.46,1.69744879,0.317,-1.148853505,0.352,-1.044124103,0.0082,-4.803621125,1.54,0.431782416,57.4186,4.050368293,2.3496,0.854245101,1.24755,0.221181628,0.93535,-0.066834488,0.1667,-1.791559489
39,8.08,2.089391873,9.41,2.241772954,3.37,1.214912744,0.006,-5.11599581,0.065,-2.733368009,0.0112,-4.491841501,3.58,1.2753628,57.4938,4.051677116,2.3914,0.871878969,1.9404,0.662894137,0.401,-0.913793852,0.05,-2.995732274
40,3.29,1.190887565,3.53,1.261297871,2.37,0.862889955,0.375,-0.980829253,0.34,-1.078809661,0.0069,-4.976233867,1.35,0.300104592,33.5817,3.513981276,2.39621,0.873888322,1.04805,0.046931295,1.17516,0.161404309,0.173,-1.754463684
41,3.73,1.316408234,3.71,1.311031877,1.02,0.019802627,6.93,1.935859813,5.86,1.768149604,0.0074,-4.906275279,3.89,1.358409158,115.7361,4.751312599,2.56248,0.94097554,1.55891,0.443986859,0.74655,-0.292292685,0.257,-1.358679194
42,1.36,0.3074847,1.21,0.19062036,0.624,-0.471604911,0.121,-2.111964733,0.269,-1.313043899,0.0026,-5.952243834,0.508,-0.677273831,14.8479,2.697858441,2.70326,0.994458452,0.13567,-1.997529812,2.15359,0.767136217,0.414,-0.881889305
43,9.92,2.294552921,10.6,2.360854001,2.81,1.033184483,0.532,-0.63111179,1.26,0.231111721,0.0136,-4.297685486,4.77,1.562346305,91.6305,4.517764186,2.77235,1.019695336,2.39235,0.872276146,0.2,-1.609437912,0.18,-1.714798428
44,8.65,2.157559321,10.8,2.379546134,6.21,1.826160896,0.409,-0.894040123,0.428,-0.848632083,0.0152,-4.186459851,3.68,1.302912752,92.1625,4.523553323,3.06526,1.120132395,2.40526,0.877658006,0.328,-1.114741671,0.332,-1.10262031
45,4.56,1.517322624,4.13,1.418277407,1.15,0.139761942,0.062,-2.780620894,0.307,-1.180907531,0.0069,-4.976233867,2.71,0.996948635,37.0122,3.611247588,3.07261,1.122527363,1.3254,0.281714301,1.51721,0.416873122,0.23,-1.46967597
46,8.78,2.172476408,11.1,2.406945108,4.69,1.545432582,0.207,-1.575036486,0.892,-0.114289146,0.0097,-4.635629393,3.85,1.348073148,87.6535,4.473391542,3.08839,1.12764992,1.89762,0.640600469,1.00107,0.001069428,0.1897,-1.662311402
47,13.1,2.57261223,13.7,2.617395833,7.63,2.032087845,0.432,-0.839329691,0.981,-0.019182819,0.0128,-4.358310108,4.81,1.570697084,111.3631,4.712796034,3.09832,1.130860029,2.47533,0.90637372,0.40245,-0.910184413,0.2205,-1.511857584
48,5.99,1.790091412,5.91,1.776645831,3.06,1.118414916,0.126,-2.071473372,0.062,-2.780620894,0.0155,-4.166915255,2.64,0.970778917,47.9596,3.87035899,3.16025,1.150651138,2.21225,0.794010097,0.572,-0.558616288,0.376,-0.978166136
49,3.91,1.363537374,1.46,0.378436436,2.48,0.90825856,0.302,-1.197328262,0.17,-1.771956842,0.0125,-4.382026635,3.18,1.156881197,38.0747,3.63955002,3.26624,1.183639476,2.04524,0.715515142,0.959,-0.041864204,0.262,-1.339410775
50,6.51,1.873339456,6.39,1.854734268,1.47,0.385262401,2.24,0.806475866,7.75,2.047692843,0.0087,-4.744432253,5.45,1.695615609,122.796,4.810524442,3.449,1.238084334,1.88312,0.632929976,1.11288,0.10695125,0.453,-0.791863153
51,11.3,2.424802726,21.4,3.063390922,4.1,1.410986974,0.52,-0.653926467,1.62,0.482426149,0.0147,-4.219907785,6.29,1.838961071,113.1166,4.728419145,3.5548,1.268298803,2.53503,0.930205471,0.77977,-0.248756275,0.24,-1.427116356
52,8.12,2.094330154,9.87,2.289499853,3.99,1.383791231,0.221,-1.509592577,0.867,-0.142716302,0.0118,-4.439655748,3.49,1.249901736,79.2042,4.372029328,3.73025,1.316475256,2.01954,0.702869763,1.42871,0.356771939,0.282,-1.265848208
53,11.5,2.442347035,12.9,2.557227311,9.33,2.233235015,0.299,-1.207311706,0.707,-0.346724613,0.0121,-4.414549826,3.36,1.211940974,98.3269,4.588297642,3.80527,1.336386948,2.02978,0.707927413,1.47649,0.389667649,0.299,-1.207311706
54,3.99,1.383791231,3.57,1.272565596,2.1,0.741937345,0.092,-2.385966702,0.328,-1.114741671,0.0116,-4.456750181,1.41,0.343589704,33.0017,3.496559075,3.85135,1.348423736,1.59635,0.467719773,1.35,0.300104592,0.905,-0.099820335
55,7.88,2.064327904,3.46,1.241268589,2.29,0.828551818,0.371,-0.991553216,0.667,-0.404965233,0.0216,-3.835061964,5.65,1.731655545,64.2417,4.162652533,4.06585,1.402622823,3.3897,1.220741422,0.31915,-1.142094067,0.357,-1.030019497
56,13,2.564949357,13,2.564949357,5.04,1.617406082,0.934,-0.068278841,2.13,0.75612198,0.0195,-3.937340813,6.9,1.931521412,119.3755,4.782273987,4.13954,1.420584671,3.68123,1.303246935,0.17129,-1.764397252,0.287,-1.248273063
57,9.05,2.202764758,3.36,1.211940974,5.08,1.625311262,0.487,-0.719491156,0.497,-0.699165253,0.0196,-3.932225713,3.9,1.360976553,80.6768,4.390451049,4.3456,1.469163839,2.9416,1.078953651,1.005,0.004987542,0.399,-0.918793862
58,21,3.044522438,31.2,3.440418095,19,2.944438979,0.283,-1.262308381,0.645,-0.438504962,0.0281,-3.571985703,3.66,1.297463147,171.4136,5.14407935,4.55013,1.515155804,3.99643,1.385401463,0.234,-1.452434164,0.3197,-1.140372223
59,12.2,2.501435952,23.9,3.173878459,17.6,2.867898902,0.305,-1.187443502,0.188,-1.671313316,0.0214,-3.844364357,4.09,1.40854497,132.867,4.889348628,4.86773,1.582627709,3.22129,1.1697819,1.46144,0.379422251,0.185,-1.687399454
60,8.63,2.155244505,9.02,2.199444334,3.11,1.134622726,0.596,-0.517514612,1.78,0.576613364,0.0181,-4.011843341,6.09,1.806648082,91.7974,4.519583975,5.03236,1.615889059,3.10707,1.13368016,1.38026,0.322271887,0.545,-0.606969484
61,4.39,1.479329227,4.21,1.437462648,1.11,0.104360015,0.128,-2.055725015,0.232,-1.461017907,0.019,-3.9633163,3.35,1.208960346,32.6213,3.484965449,5.10443,1.63010879,2.68943,0.989329275,1.914,0.649195293,0.501,-0.691149178
62,5.95,1.78339122,6.68,1.899117988,3.63,1.289232648,0.676,-0.391562203,0.953,-0.048140375,0.0101,-4.595219855,2.91,1.068153081,59.5369,4.086596288,5.17605,1.644042217,1.71319,0.53835713,3.24836,1.178150254,0.2145,-1.539445541
63,19.7,2.980618636,18.8,2.93385687,10.6,2.360854001,2.07,0.727548607,4.03,1.393766376,0.0208,-3.872802292,8.59,2.150598736,200.5094,5.300861128,5.63355,1.728739794,4.13923,1.42050978,1.1923,0.175884215,0.302,-1.197328262
64,7.6,2.028148247,2.82,1.036736885,3.73,1.316408234,0.596,-0.517514612,0.351,-1.046969056,0.0254,-3.673006105,5,1.609437912,65.3966,4.180470269,5.66153,1.733694174,3.81053,1.337768287,0.725,-0.321583624,1.126,0.11867153
65,18.1,2.895911938,32.5,3.481240089,9.87,2.289499853,0.576,-0.551647618,2.75,1.011600912,0.0263,-3.63818634,8.19,2.102913898,198.5225,5.290902444,5.81782,1.760925621,4.33239,1.466119353,1.05843,0.056786678,0.427,-0.850971266
66,13.1,2.57261223,7.72,2.043814364,4.49,1.501852702,0.243,-1.414693836,0.538,-0.619896719,0.0317,-3.451438598,6.86,1.925707442,89.3715,4.492801839,5.94828,1.783102102,4.88513,1.586195897,0.64115,-0.44449184,0.422,-0.862749965
67,25.2,3.226843995,35.2,3.561046083,13,2.564949357,1.98,0.683096845,1.42,0.350656872,0.0256,-3.665162927,13,2.564949357,210.3284,5.348670119,6.26579,1.835104678,5.41694,1.68953108,0.71885,-0.330102566,0.13,-2.040220829
68,12.3,2.509599262,25.9,3.254242969,3.75,1.32175584,1.76,0.565313809,9.06,2.20386912,0.0166,-4.098352584,18.9,2.939161922,246.6618,5.508018168,6.29944,1.840460741,4.57774,1.521205427,0.7647,-0.268271679,0.957,-0.043951888
69,32.3,3.47506723,43.5,3.772760938,31.5,3.449987546,0.915,-0.088831214,1.8,0.587786665,0.0281,-3.571985703,8.49,2.138889,318.7461,5.764394861,6.49311,1.870741615,5.10758,1.630725711,1.18553,0.170189932,0.2,-1.609437912
